symbol,date,close,SHARE_CAPITAL,market_cap
SH600707,2020-12-01,7.11,3588389732.0,25513450994.52
SH600707,2020-12-02,7.82,3588389732.0,28061207704.24
SH600707,2020-12-03,8.6,3588389732.0,30860151695.199997
SH600707,2020-12-04,7.74,3588389732.0,27774136525.68
SH600707,2020-12-07,6.97,3588389732.0,25011076432.04
SH600707,2020-12-08,6.5,3588389732.0,23324533258.0
