symbol,company,industry_category_id,industry_category_name,industry_sub_category_id,industry_sub_category_name,industry_type_id,industry_type_name,list_date
SZ300508,维宏股份,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2016-04-19
SZ300509,新美星,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,2016-04-25
SZ300510,金冠股份,C,制造业,CH,电气、电子及通讯,38.0,电气机械和器材制造业,2016-05-06
SZ300511,雪榕生物,A,农、林、牧、渔业,,,1.0,农业,2016-05-04
SZ300512,中亚股份,C,制造业,CG,专用、通用及交通运输设备,34.0,通用设备制造业,2016-05-26
SZ300513,恒实科技,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2016-05-30
SZ300514,友讯达,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2017-04-26
SZ300515,三德科技,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2016-06-08
SZ300516,久之洋,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2016-06-02
SZ300517,海波重科,E,建筑业,,,48.0,土木工程建筑业,2016-07-19
SZ300518,新迅达,I,信息传输、软件和信息技术服务业,,,64.0,互联网和相关服务,2016-06-24
SZ300519,新光药业,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2016-06-24
