symbol,company,industry_category_id,industry_category_name,industry_sub_category_id,industry_sub_category_name,industry_type_id,industry_type_name,list_date
SZ300720,海川智能,C,制造业,CI,仪器、仪表,40.0,仪器仪表制造业,2017-11-06
SZ300721,怡达股份,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,2017-11-15
SZ300722,新余国科,C,制造业,CJ,其他制造业,41.0,其他制造业,2017-11-10
SZ300723,一品红,C,制造业,CE,石油、化学、生物医药,27.0,医药制造业,2017-11-16
SZ300724,捷佳伟创,C,制造业,CG,专用、通用及交通运输设备,35.0,专用设备制造业,2018-08-10
SZ300725,药石科技,M,科学研究和技术服务业,,,73.0,研究和试验发展,2017-11-10
SZ300726,宏达电子,C,制造业,CH,电气、电子及通讯,39.0,计算机、通信和其他电子设备制造业,2017-11-21
SZ300727,润禾材料,C,制造业,CE,石油、化学、生物医药,26.0,化学原料和化学制品制造业,2017-11-27
SZ300729,乐歌股份,C,制造业,CC,木材、家具,21.0,家具制造业,2017-12-01
SZ300730,科创信息,I,信息传输、软件和信息技术服务业,,,65.0,软件和信息技术服务业,2017-12-05
SZ300731,科创新源,C,制造业,CE,石油、化学、生物医药,29.0,橡胶和塑料制品业,2017-12-08
SZ300732,设研院,M,科学研究和技术服务业,,,74.0,专业技术服务业,2017-12-12
