Date,Close,High,Low,Open,Volume
2014-01-02,83.00631713867188,83.84680230820612,82.84662290449462,83.84680230820612,288600
2014-01-03,83.3088607788086,83.561002386793,83.09033292197635,83.36769446191067,275000
2014-01-06,82.75414276123047,83.8887960975464,82.7289292401287,83.67027463973714,457600
2014-01-07,83.19960021972656,83.42653473847747,82.91383842561478,83.30046071832597,251300
2014-01-08,83.19960021972656,83.30886736297369,82.74573759461578,83.22481374127865,195500
2014-01-09,83.55261993408203,83.77954807079433,83.07353731094915,83.49377982606903,217300
2014-01-10,83.86359405517578,83.872000700824,83.25844381634047,83.74592666566801,224000
2014-01-13,82.88862609863281,84.06529987062866,82.70371838806457,83.80475159431403,229600
2014-01-14,83.77955627441406,83.77955627441406,82.96428468926813,83.18281261399825,119400
2014-01-15,84.42672729492188,84.51918117062694,83.89722398056863,84.0485115578685,177800
2014-01-16,84.1913833618164,84.3258640436791,83.96445522666292,84.3258640436791,127400
2014-01-17,83.75434112548828,84.02329609979803,83.58624025879944,84.02329609979803,209300
2014-01-21,83.90562438964844,84.46874783624934,83.41814151987808,84.34267379580636,195500
2014-01-22,84.16616821289062,84.25862207678917,83.85518645137812,84.11574116436114,265200
2014-01-23,83.25006103515625,83.9224453429567,82.99791291198537,83.9224453429567,174200
2014-01-24,80.61092376708984,82.58606234092969,80.59411047524549,82.58606234092969,382000
2014-01-27,80.4848403930664,81.08999058143695,79.85447668224563,80.79581571980758,244800
2014-01-28,81.2665023803711,81.41778994743781,80.76220621522064,80.77901950733478,140700
2014-01-29,80.39238739013672,81.03955798533792,80.14864598320887,80.44281443557306,204700
2014-01-30,81.09842681884766,81.33376168271856,80.57733002381754,80.86309195497675,391800
2014-01-31,80.66971588134766,81.26645918638202,79.85444478172408,80.11499295948015,168400
2014-02-03,78.29959869384766,80.90510134448726,78.23235834369616,80.5689060061225,328300
2014-02-04,78.9467544555664,79.11484888666871,77.92976839889693,78.5517254888453,346200
2014-02-05,78.72820281982422,79.00556431863974,77.94655176741017,78.61894211380124,434200
2014-02-06,79.77044677734375,79.89651441694717,78.96357540952599,78.96357540952599,360000
2014-02-07,80.99754333496094,81.05637702961037,80.22429224649305,80.29993923240909,230600
2014-02-10,80.57728576660156,81.19924276699143,80.34194461959808,81.19924276699143,683000
2014-02-11,81.41778564453125,81.68674059261431,80.67815472800898,80.81263540824641,184500
2014-02-12,81.85484313964844,81.96410389387167,81.56067463797635,81.63631521880957,132400
2014-02-13,82.18264770507812,82.24148141678829,81.08161406633342,81.26652184953498,226500
2014-02-14,82.6617202758789,82.78779434161892,81.92209558920726,82.24147766500774,345800
2014-02-18,82.65331268310547,82.89705416411093,82.32552396336547,82.89705416411093,147000
2014-02-19,81.93888092041016,82.97268029269368,81.88004722685852,82.56084443783222,121900
2014-02-20,82.82981872558594,82.96429302265545,81.93890005637861,82.14902135561917,105700
2014-02-21,82.80457305908203,83.1071481489815,82.75414601489585,83.03150758270222,100900
2014-02-24,83.45176696777344,84.0485106237147,82.81299649156331,82.85502331183216,157200
2014-02-25,83.04832458496094,83.6534748385379,82.9558707177538,83.31727954072937,185600
2014-02-26,83.3088607788086,83.65345623343778,83.03990588285758,83.25002709570651,146600
2014-02-27,83.80476379394531,83.85519084511701,83.13237959955178,83.13237959955178,122000
2014-02-28,83.96444702148438,84.42670989233245,83.56941807260556,83.75432578590127,199800
2014-03-03,83.31730651855469,83.59466820998477,82.68694253570123,83.12399848808695,303100
2014-03-04,84.7629165649414,84.91420413142752,84.18298623707135,84.18298623707135,148000
2014-03-05,84.86376190185547,85.08228977267133,84.7797146938158,84.96461598654669,146100
2014-03-06,85.40166473388672,85.51933209798362,85.17473023713525,85.17473023713525,88100
2014-03-07,85.56977844238281,85.93959390577649,85.33444366109296,85.89756708952108,175800
2014-03-10,85.13275146484375,85.45213355034234,84.67888866183404,85.3932998395296,239000
2014-03-11,84.47713470458984,85.35123972465362,84.28382036618348,85.30080627284859,167400
2014-03-12,84.29225158691406,84.30065823339774,83.72072146147978,84.01488996448438,104800
2014-03-13,83.04832458496094,84.74610795331762,82.74574945817247,84.66206073196346,140300
2014-03-14,82.89704132080078,83.45176455281288,82.77937392232408,82.97268831261711,120700
2014-03-17,83.92240905761719,84.19136394692859,83.43492631686829,83.43492631686829,123000
2014-03-18,84.40992736816406,84.56121495792773,84.05692512951317,84.05692512951317,98500
2014-03-19,83.70391082763672,84.55280260246845,83.18281415215779,84.55280260246845,97700
2014-03-20,83.81317138671875,83.88041173063529,83.24164128821243,83.58623682909847,92000
2014-03-21,83.86359405517578,84.55279151331781,83.76273995696444,84.23340951499554,99800
2014-03-24,83.49376678466797,84.19137078977799,82.96426360678434,84.06529677245592,150600
2014-03-25,84.07372283935547,84.41832480548524,83.66188693919386,83.96446208571041,88600
2014-03-26,83.13238525390625,84.5948275488839,83.13238525390625,84.51078032041714,266500
2014-03-27,82.90544891357422,83.19961741312432,82.43477931429406,82.94747573310667,99700
2014-03-28,83.49376678466797,83.92241587860666,83.05671745866113,83.05671745866113,221200
2014-03-31,84.54439544677734,84.6536626167014,83.83839102138779,83.83839102138779,251100
2014-04-01,85.22518920898438,85.31764308165936,84.73770631895131,84.86378036463466,628800
2014-04-02,85.8387451171875,85.88917858606005,85.22519455537385,85.22519455537385,251400
2014-04-03,85.771484375,86.04883951135585,85.46890930589296,85.93957878566358,105100
2014-04-04,84.65367126464844,86.39347539053989,84.48557037543594,86.16654079320135,155600
2014-04-07,83.40132141113281,84.69566254468852,83.15758001490995,84.42670762685485,161600
2014-04-08,83.45176696777344,83.68710177153704,82.76256943715467,83.22483239814962,245200
2014-04-09,84.60321807861328,84.6284316011109,83.54420524697406,83.67027927185346,100500
2014-04-10,82.93907928466797,84.68729002893821,82.81300522296127,84.63685655681964,123600
2014-04-11,82.03972625732422,82.97266494853704,81.93046553590298,82.15739362266723,223400
2014-04-14,82.44316101074219,82.89702362759266,81.74556341506343,82.61966848317647,113400
2014-04-15,82.92225646972656,83.09875755724615,81.60268881144746,82.53562771147382,112200
2014-04-16,84.2502212524414,84.2586278985744,83.35090248797475,83.35090248797475,118800
2014-04-17,84.96464538574219,85.20838686206952,84.35950143103207,84.4435486681535,101400
2014-04-21,85.24199676513672,85.3092371116866,84.65365976380617,84.99825531818767,125600
2014-04-22,85.4437026977539,85.89755892573977,85.32602890590094,85.32602890590094,88500
2014-04-23,85.65381622314453,85.86393744075123,85.544549086059,85.64540957897087,73700
2014-04-24,85.4269027709961,86.03205305282765,85.05708728490076,86.03205305282765,125700
2014-04-25,84.51918029785156,85.28402482307852,84.36789272211395,85.1579507745651,180700
2014-04-28,84.46036529541016,85.07392238073393,83.5778595852246,84.89742123869682,116900
2014-04-29,84.72088623046875,84.8217403213782,84.16616308090148,84.8217403213782,129900
2014-04-30,85.31763458251953,85.37646827632526,84.53598327201976,84.67886418377769,75000
2014-05-01,85.15792846679688,85.61179107511695,84.81333299768156,85.22516879670891,111200
2014-05-02,85.17475128173828,85.737881134641,85.09070405981596,85.20837145298562,80000
2014-05-05,85.21676635742188,85.34284037913042,84.43511511769826,84.8217374151843,85700
2014-05-06,84.5107650756836,85.07388845846191,84.46033161778713,84.97302795506033,81300
2014-05-07,85.10750579833984,85.14112596502325,84.14094684646304,84.72088350006734,232000
2014-05-08,85.00663757324219,85.69583489664286,84.77970948424037,85.09068477611729,112100
2014-05-09,85.12432861328125,85.15794878625935,84.5527984974382,84.88058716848427,68100
2014-05-12,86.54474639892578,86.58676680388103,85.48573344321606,85.51935361461548,79700
2014-05-13,86.55314636230469,86.87252834735241,86.50271290290338,86.70443391572552,80400
2014-05-14,85.73786163330078,86.54472632253677,85.61178762289722,86.54472632253677,93600
2014-05-15,84.9142074584961,85.50255086783524,84.30065693487904,85.42690387543217,102700
2014-05-16,85.11590576171875,85.11590576171875,84.63682960967871,85.0822920075327,69900
2014-05-19,85.57819366455078,85.62022048501802,84.79654225556467,84.82175578288802,189500
2014-05-20,84.37630462646484,85.46053125141468,84.073729456135,85.46053125141468,114600
2014-05-21,85.06547546386719,85.10750227357867,84.62842613986572,84.62842613986572,79700
2014-05-22,85.3680419921875,85.56135632015881,84.94779958671008,85.12430062752377,63600
2014-05-23,86.03203582763672,86.08246287022884,85.43529231152966,85.51093287541785,62500
2014-05-27,86.5615463256836,86.7296471691786,86.3009980337557,86.4606922319781,90000
2014-05-28,86.59516906738281,86.84731713392165,86.52792872798689,86.78007679452573,85400
2014-05-29,86.8472900390625,86.88091019827155,86.35980734911585,86.8472900390625,120300
2014-05-30,86.8472900390625,86.87250355537186,86.5195015022614,86.86409691247218,68500
2014-06-02,87.20870208740234,87.27593599601522,86.3850241860925,87.04060128489526,118600
2014-06-03,86.98178100585938,87.27594944007329,86.64558576144736,86.64558576144736,142600
2014-06-04,87.07427215576172,87.14991916404274,86.72967653161881,86.89777101963091,75600
2014-06-05,88.09123992919922,88.18369380177393,87.17511426218552,87.32640183436301,91300
2014-06-06,88.92328643798828,88.92328643798828,88.09960858633298,88.09960858633298,99200
2014-06-09,89.45280456542969,89.78059315025375,88.83084755991615,88.88127459992273,1251200
2014-06-10,89.22586822509766,89.41076949216,88.8308393485203,89.41076949216,149000
2014-06-11,88.49465942382812,88.88968836858305,88.3349652344869,88.88968836858305,97500
2014-06-12,87.2759780883789,88.4526586238704,87.0910767350299,88.4526586238704,132400
2014-06-13,87.52812194824219,87.7466498800663,87.16671308162232,87.275973841338,79100
2014-06-16,87.46089172363281,87.62058597065315,87.07426928404088,87.37684448239865,439300
2014-06-17,87.77186584472656,87.95677360660342,87.24236250040063,87.46088402589793,128400
2014-06-18,88.24253845214844,88.3013721590524,87.4692936150126,87.86432268096483,86100
2014-06-19,88.4610366821289,88.53667724599968,88.0996279147229,88.36017618457689,91500
2014-06-20,88.84766387939453,88.88128404710262,88.4694482143634,88.4694482143634,88200
2014-06-23,88.37698364257812,88.90648679190986,88.16686242916848,88.90648679190986,58600
2014-06-24,87.44407653808594,88.60394374673972,87.4104563623056,88.21732134385512,74800
2014-06-25,87.59532165527344,87.71298900726114,87.20029279686192,87.2170996704074,191200
2014-06-26,87.50289916992188,87.71302043266543,86.94817595833067,87.67940026113942,78400
2014-06-27,87.79706573486328,87.83068590565391,87.28436935199203,87.3263961685783,55000
2014-06-30,87.61215209960938,87.81387311076396,87.45246431460134,87.81387311076396,88100
2014-07-01,88.2257308959961,88.52830607558947,87.81389495081353,87.82229518574057,99100
2014-07-02,87.95674896240234,88.2677242817073,87.89791527396159,88.04920281743655,86700
2014-07-03,88.65438079833984,88.73002138760693,88.28456526220803,88.28456526220803,128000
2014-07-07,87.82227325439453,88.54509084598556,87.746632684582,88.54509084598556,984600
2014-07-08,87.250732421875,87.72140831014336,86.9061369591476,87.6793815016297,147700
2014-07-09,87.37681579589844,87.68779753999989,87.16669455560077,87.55331686826153,88600
2014-07-10,86.91458129882812,87.24237002774888,86.32623778642139,86.42709832316372,119600
2014-07-11,87.250732421875,87.29275923038865,86.67920245299895,86.92294383511866,56800
