Date,Close,High,Low,Open,Volume
2014-01-02,136.65191650390625,137.45080864990047,136.3013741984759,137.38559118751903,1731300
2014-01-03,136.5295867919922,137.12469128721284,136.40731186226478,136.8556740028573,1710500
2014-01-06,136.18722534179688,137.0839497598868,135.99158542436425,137.04318729743596,1339000
2014-01-07,137.0350799560547,137.25517492769316,136.6519350868104,136.73344759665255,824700
2014-01-08,137.09213256835938,137.27962501715078,136.58671273293893,137.0106200614311,3147500
2014-01-09,137.17364501953125,137.5078674137265,136.5377903041912,137.4997198954639,1117200
2014-01-10,137.49156188964844,137.56492686529327,136.67636232303929,137.4018894397631,990200
2014-01-13,135.74705505371094,137.55679934985574,135.44542271171343,137.1899495403712,1338500
2014-01-14,137.15733337402344,137.24700582802245,135.90193145699595,136.1627888620193,866000
2014-01-15,137.9317626953125,138.11925511070277,137.43449046748412,137.46710541561345,943100
2014-01-16,137.71983337402344,137.76874336368232,137.2959260653803,137.6220133947057,778500
2014-01-17,137.12474060058594,137.76059534174766,136.92908820370553,137.52418047398055,904300
2014-01-21,137.55673217773438,137.9969343196109,136.71707790717153,137.94802435261948,1366400
2014-01-22,137.63829040527344,137.8339427772438,137.35297802331118,137.81763530317343,751200
2014-01-23,136.5295867919922,136.96164146230268,135.8040598513807,136.96164146230268,1294000
2014-01-24,133.59487915039062,135.6654801144702,133.5867191956118,135.6247176574425,1828900
2014-01-27,132.94276428222656,134.05958385474986,132.29874957417366,133.74981643723063,2882100
2014-01-28,133.76608276367188,133.89651766882076,133.02424823446447,133.07317065311318,1067400
2014-01-29,132.37213134765625,133.34222098148487,132.1194214307349,132.67375125637395,1346400
2014-01-30,133.85577392578125,134.2796812073198,133.1465542431555,133.60306403606214,2086700
2014-01-31,133.02426147460938,133.89653099578425,132.14385687461913,132.18460690244655,1322100
2014-02-03,130.1139678955078,133.21172789292982,129.82864314930197,132.89380064607852,2969400
2014-02-04,130.99444580078125,131.31237319597355,130.2118485916368,130.66835844740413,1116700
2014-02-05,130.77435302734375,131.10044041721397,129.7635007771891,130.5134955544096,1701400
2014-02-06,132.5270233154297,132.54331835363843,131.1493338102019,131.1737888064755,1109600
2014-02-07,134.23890686035156,134.3285793073775,132.75525016469084,133.17914496976087,1258200
2014-02-10,134.45089721679688,134.47536465467329,133.85580484493823,134.214494747635,937400
2014-02-11,135.9345245361328,136.24430434462772,134.48347033680076,134.60574529333405,1497400
2014-02-12,136.05674743652344,136.54587195343044,135.71436525026982,136.13012482132672,1855000
2014-02-13,136.7252960205078,136.82311600500023,135.07858912744337,135.07858912744337,1336600
2014-02-14,137.45079040527344,137.6953527470019,136.4399385309759,136.5948284287025,917200
