symbol,REPORT_DATE,quarterly_financial_score_x,industry_type_name,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,NETPROFIT,NETPROFIT_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,BASIC_EPS,roe,roa,gross_margin,profit_margin,debt_to_asset,current_ratio,quick_ratio,debt_to_equity,asset_turnover,inventory_turnover,receivables_turnover,dt_pred,rf_pred,svr_pred,latest_financial_score,quarterly_financial_score_y
BJ920019,2025-09-30,1.0,开采专业及辅助性活动,3121028271.86,53.3543746507,165840107.21,24.0692228202,158462697.83999997,42.626682720000005,0.8719999999999999,0.1808340280182776,0.0957516321174625,0.1253070059653542,0.053136368133944,0.0112921486740032,1.6182386627712415,1.4344008268994328,0.0217627758428387,1.8019980566999945,18.64881205177102,5.984619386163848,1.0,2.0,2.2019329588847123,1.7339776529615707,1.0
BJ920110,2025-09-30,,,417568065.67999995,12.180644515299996,92314214.51,78.04706195540001,86884256.60000001,132.2584147122,2.37,0.2564033718030829,0.2355907608552063,0.4817009224889919,0.2210758486994651,0.0,7.919361968638499,5.192473944219802,0.0,1.0656558020296147,2.552985727799508,292.0691950009849,4.0,3.66,2.8426877723867685,3.5008959241289226,
SH600031,2025-09-30,5.0,专用设备制造业,190421919000.0,50.596893409500005,20005088000.0,163.82824591370002,19546826000.0,214.5764209484,2.3308,0.2709166353710762,0.1294652174245346,0.2773436339542403,0.1050566452909236,0.1679269301688451,1.594542036065022,1.2823480188508265,0.3534815710346903,1.232337250690031,6.71811419303143,7.208256826974129,5.0,4.45,3.3300584340621464,4.260019478020715,5.0
SH600051,2025-09-30,,批发业,2812724324.17,62.11644644569999,66748484.53,483.7969433334,143549794.95999998,-53.1304766817,0.546,0.0505986590614438,0.0132365954041057,0.1011596146963185,0.0237309017298368,0.0461893056494362,2.420055849143687,1.3944121287801046,0.0605134632192734,0.5577788638121325,2.034337071933263,6.072346322211007,1.0,1.92,3.0049595590992935,1.9749865196997645,
SH600215,2025-09-30,,通用设备制造业,2899742039.52,-163.67547445600002,-47162684.40999999,-503.0086893794,-55033508.120000005,-528.0164657125999,-0.1065,-0.023382602876098,-0.0139143629663959,0.100103759118535,-0.0162644413769325,0.148531944689384,1.416714940727932,1.3812875668340874,0.2332966558950562,0.8555082000006644,73.32703936367014,10.139650976401754,3.0,2.14,1.9015968233232208,2.3471989411077403,
SH600226,2025-09-30,,电力、热力生产和供应业,3370593538.12,277.79728849770004,549339972.6600001,68.9033844594,401360428.18000007,-60.775181664,0.18,0.1630630232087473,0.117514808772624,0.101413741296335,0.1629801892299369,0.1587863303753337,2.367887815981864,1.9306746009089677,0.2132648298165,0.7210373808489752,10.719237377874618,14.84497308335566,2.0,1.65,4.100478212739068,2.5834927375796894,
SH600257,2025-09-30,2.0,渔业,1986392229.35,-69.9355404515,20556360.42,706.7286369142,-31223130.92,-142.62469114130002,-0.0579999999999999,-0.0351328160954404,0.0111852806010037,0.2482578159608324,0.0103485908353188,0.1358754130771343,1.957182109100609,0.9528946476588258,0.2532622677962252,1.0808505987916066,3.453851145439544,17.48925435481137,2.0,2.14,2.099887729551021,2.079962576517007,2.0
SH600276,2025-09-30,,医药制造业,66344190525.490005,69.5465284438,16707677948.01,125.7089061797,16341799634.16,110.2416491019,2.62,0.3179252248940722,0.2820737571188516,0.8611446085390012,0.2518333227924571,0.0,7.550115090864806,7.101031603422845,0.0,1.1200811472885042,3.5721573277451113,13.25523824555695,4.0,3.87,3.239221264317358,3.703073754772453,
SH600346,2025-09-30,1.0,化学原料和化学制品制造业,496313346517.8301,-18.7753392027,15239393120.83,-40.6336774188,12347524347.18,-83.619133107,2.16,0.2378912006638889,0.0557042089690095,0.1174632029993892,0.0307051849960325,0.5582089586692871,0.5801679625558702,0.3922910251240107,2.36655820694345,1.8141629492285127,17.575402592270517,726.7294039522992,1.0,1.26,1.9454943047574138,1.4018314349191379,1.0
SH600497,2025-09-30,,有色金属冶炼和压延加工业,47554694677.67,23.8203050123,4199868229.95,-21.8986044088,4066340146.96,-6.704228811600002,0.8323,0.255511913951753,0.1606590701974939,0.1903184286608365,0.0883165849011771,0.0704506506137888,0.8110649141593936,0.3943789418922261,0.0949455578030983,1.8191268421131233,20.56881336621578,249.70121711460067,1.0,2.0,2.3088663949169748,1.7696221316389915,
