symbol,total_dividend_yield_1Y,total_dividend_yield_3Y,total_dividend_yield_5Y,total_dividend_1Y,total_dividend_3Y,total_dividend_5Y
SH600327,0.006289308176,0.039303861191,0.17953634304,0.3,1.5999999999999999,10.1
SH600328,0.017258741259,0.092055084248,0.132419169638,1.234,8.914000000000001,15.914000000000001
SH600329,0.037758112094,0.097366148017,0.13317321503399998,12.8,36.8,44.8
SH600330,0.00324005891,0.019763229424000002,0.03166778983,0.22,1.52,2.52
SH600332,0.03021785964,0.090791749251,0.130928941754,8.0,26.810000000000002,39.06
SH600333,,,0.009823182711,,,0.5
SH600335,0.017269894414000002,0.031037729079,0.05979614344,1.1,2.2,4.1
SH600336,0.001373626374,0.021566612715000003,0.054539096280000005,0.1,1.3,3.3000000000000003
SH600338,0.004250386399,0.004250386399,0.004250386399,0.55,0.55,0.55
SH600339,0.013869787980000001,0.036807146422,0.062276023146000004,0.48,1.28,1.99
SH600345,0.002233049127,0.010745906047,0.016927224727999998,0.55,2.1500000000000004,3.1500000000000004
SH600346,0.035410165482,0.071618197082,0.141076279218,5.3,10.8,28.6
SH600348,0.043829787234,0.197538493361,0.268551051265,3.09,19.04,26.54
SH600350,0.041379310345,0.14568286462000002,0.274782075911,4.2,12.4,20.2
SH600351,0.047318611987,0.07827099294,0.099851769213,3.0,5.0,6.3
SH600352,0.044094768834,0.118535917147,0.16115247746,4.5,11.5,16.5
SH600353,0.005703422053,0.011933951647999999,0.017281545231,0.6,1.0,1.3
SH600356,0.014492753623,0.050777995489,0.082768204136,1.2,3.866,6.216
SH600360,0.008362388961,0.014236466231,0.021157370186000002,0.74,1.041,1.561
SH600361,0.020352644836,0.050838150868000004,0.072816172846,0.808,2.108,2.908
SH600362,0.039418138324,0.092953580489,0.125780879622,11.0,22.0,28.0
SH600363,0.000934579439,0.005286741457,0.00914917309,0.54,1.8822,2.9821999999999997
SH600366,0.004074979625,0.024212283075,0.048935669077,0.5,2.0,4.0
SH600367,0.003158006475,0.01124618301,0.017998360269,0.5,1.5,2.7
SH600368,0.030394431555,0.065954028528,0.153641606896,1.31,2.9000000000000004,6.29
SH600369,0.01585018852,0.033746628427000006,0.075569063442,0.75,1.5,3.3
SH600370,,0.05016722408,0.126858683719,,1.5,4.0
SH600371,0.016429353779,0.061056982445000005,0.07706712199,1.5,5.5,7.5
SH600372,0.006076388889,0.024551265399999998,0.03625262946,0.7,3.1399999999999997,5.39
SH600373,0.036697247706,0.129336142527,0.244264737187,4.0,19.3,31.6
SH600376,,0.023752969121,0.113643389764,,1.0,6.0
SH600377,0.032863849765,0.116237381541,0.222710944417,4.9,14.2,23.4
SH600378,0.010546091445,0.039131539485,0.058366281813,2.8601,12.7201,18.101100000000002
SH600379,0.006884975573,0.024471506445,0.035712890672,0.8026,2.4026,3.4426
SH600380,0.016246953696,0.04785812448,0.070956784599,2.0,5.6,8.6
SH600382,0.017667844523,0.129810155993,0.306859820913,1.0,5.928,15.928
SH600383,,0.022938690732,0.141140810007,,1.5570000000000002,14.857
SH600386,0.002127659574,0.028201881273,0.071446680812,0.1,1.1,2.7
SH600388,0.023489932886,0.051077773103,0.093133691797,2.8,6.6,10.9
SH600389,0.022929115426,0.043398276494,0.136491943079,5.5,9.5,54.5
SH600390,0.000996677741,0.052680525004,0.139163017105,0.06,2.55,7.42
SH600392,0.009673378555,0.023357591024,0.030308926508,1.5,3.0,4.5
SH600395,0.007722007722,0.11541554591,0.213263371348,0.4,7.3,15.299999999999999
SH600398,0.024128686327,0.183727478133,0.314469523983,1.8,14.0,21.66
SH600399,0.003564356436,0.01305588186,0.01305588186,0.18,0.74,0.74
SH600400,,0.018444860795,0.07463182644300001,,0.5,2.35
SH600403,,0.081593927894,0.149820048752,,4.3,7.8
SH600406,0.025616328421,0.067027537822,0.09451473948299999,5.819999999999999,16.47,24.77
SH600409,0.015020576132,0.058643522387,0.118919452005,0.73,3.02,7.92
SH600410,0.000645792564,0.000645792564,0.0047729120520000005,0.066,0.066,0.359
SH600415,0.017553191489,0.0512394962,0.074491123353,3.3,5.949999999999999,7.2299999999999995
SH600418,,0.000995260664,0.00592236438,,0.21,0.72
SH600419,0.002128803245,0.029929834485,0.052600835501,0.2099,3.4399,6.5214
SH600420,0.026946127119,0.054915927087,0.07563487012,3.0,6.0,8.0
SH600422,0.02027027027,0.042514999465,0.09090808751,3.0,6.6,11.6
SH600425,0.026666666667,0.07426633893199999,0.111737064927,1.0,3.0,4.6
SH600426,0.023459858888,0.08381500594,0.118896356339,5.5,22.5,33.5
SH600428,0.040086206897,0.105123006645,0.118772417027,2.79,6.87,7.57
SH600429,0.002597402597,0.016892517636,0.028237665932,0.12,0.69,1.24
SH600433,0.019417475728,0.085206949412,0.115602970433,0.6,3.1,4.25
SH600435,0.001710863986,0.009941095294,0.016050919952,0.2,1.0,1.5
SH600436,0.015985086401,0.035147842139,0.040981953421,32.2,79.4,100.5
SH600438,,0.118606085871,0.145094531161,,37.629999999999995,49.16
SH600439,,0.004761904762,0.004761904762,,0.1,0.1
SH600444,0.005121042831,0.023776990059,0.044309366027,1.1,3.4000000000000004,6.2
SH600446,,0.008210695103,0.016055198018,,0.8899999999999999,1.92
SH600449,0.015107913669,0.06038524842,0.151434208216,2.1,8.5,20.6
SH600452,0.009660487126000001,0.029904508135,0.05170293024,0.9,4.15,7.95
SH600456,0.01214953271,0.041465011086,0.079336636424,3.9,11.9,30.9
SH600458,0.022944465704,0.05318278917,0.076262522256,2.8600000000000003,6.0600000000000005,8.11
SH600459,0.015603638726,0.040335328446999996,0.059149396564,2.4014,5.9522,10.2522
SH600460,0.001616814875,0.004555398478,0.007017236388,0.4,1.4,2.56
SH600461,0.047638603696,0.13699472721,0.256934956546,4.64,13.3873,22.5972
SH600463,,,0.001666666667,,,0.1
SH600467,0.003732217573,0.016116494571,0.026282787599,0.0892,0.3212,0.5912
SH600468,,0.014355234485,0.028341433202,,0.67,1.27
SH600469,0.007168458781,0.04558725140600001,0.062353989823,0.4,2.6,3.4
SH600475,0.023271276596,0.092950264157,0.150417796625,3.5,10.5,17.5
SH600477,0.022166081993,0.06343421981700001,0.10263843737100001,0.61,1.81,3.46
SH600479,0.032200357782,0.09647537628899999,0.254384551367,3.6,10.6,26.6
SH600480,0.027811882774000003,0.077525553915,0.100544599721,4.0,8.5991,10.9091
SH600481,,0.06339801584,0.066352225589,,6.2,6.4
SH600482,0.012584525014,0.019258978446,0.028392057084,2.6761,4.2046,5.8246
SH600483,0.038989261702000004,0.098596232057,0.137027949208,3.83,10.93,15.73
SH600486,0.013943487343,0.045313775069,0.056861264955000004,9.2,31.0,44.0
SH600487,0.015022860875,0.029837341567999998,0.039232933193,2.3,4.6,5.9
SH600488,0.022425629291,0.04730435417,0.052754476803,0.98,1.95,2.19
SH600489,0.026110363392,0.073618664746,0.123207758571,3.88,10.71,14.557
SH600490,,,0.009893455099,,,0.65
SH600491,,,0.015923982771,,,0.9199999999999999
SH600493,0.009392,0.038290558796999996,0.060575475689,0.587,1.875,3.083
SH600495,0.002851323829,0.007729284806000001,0.012357456549000001,0.14,0.31,0.48000000000000004
SH600496,0.02657807309,0.059464391988,0.075678832404,0.8,1.76,2.42
SH600497,0.029145543629,0.078455108558,0.111940295448,1.6,4.2,5.9
SH600498,0.008852621167,0.022757596169999998,0.03279627889,1.79,4.17,5.7700000000000005
SH600499,0.01976284585,0.117298900575,0.137309225542,2.0,12.1,14.9
SH600500,,0.026642984014,0.044141296706,,1.5,2.7
SH600501,,0.006854620786,0.006854620786,,0.9004000000000001,0.9004000000000001
SH600502,0.038539553753,0.139446417253,0.220850354185,1.9,7.0,11.5
SH600503,,0.002083333333,0.005122679045,,0.04,0.14
SH600505,0.001465201465,0.006742903915,0.014904616162,0.2,0.7,1.35
SH600507,0.007894736842,0.031761085290999996,0.283115398416,0.33,1.33,23.43
SH600508,0.024099457207,0.122896950583,0.159637173073,2.9,16.3,20.63
SH600509,0.00873015873,0.03826286901,0.040051039574,0.55,2.13,2.2600000000000002
SH600510,0.008151093439,0.075672097466,0.13835840678699998,0.41,3.7600000000000002,8.36
SH600511,0.026972353338,0.072900924789,0.114134691023,8.0,24.36,36.86
SH600512,0.008810572687,0.019281776875,0.041615600164000004,0.2,0.4,1.1
SH600513,0.009600862999,0.040729079689000004,0.06547155209,0.89,3.89,6.22
SH600515,0.001377410468,0.001377410468,0.001377410468,0.05,0.05,0.05
SH600516,0.004291845494,0.004291845494,0.063603826514,0.2,0.2,5.2
SH600517,0.01711395981,0.049808333014000006,0.071669008108,0.9299999999999999,2.54,3.82
SH600519,0.019272770326,0.054685729845999995,0.074692147864,276.73,844.6,1254.28
SH600521,0.011820330969,0.036220360598000004,0.050322242091,2.5,6.9,9.9
SH600522,0.020920502092,0.041997041128,0.056503762952,3.0,6.2,8.2
SH600523,0.009282700422,0.028456886669000002,0.048376387426,1.32,3.64,6.970000000000001
SH600526,0.020325203252,0.020325203252,0.020325203252,1.0,1.0,1.0
SH600527,0.022831050228,0.099544498927,0.169675908178,0.5,2.0,3.7
SH600528,0.01158836689,0.041455123789,0.074633732831,1.036,3.509,6.369
SH600529,0.02707805326,0.06491711184400001,0.08558972896400001,6.0,16.0,22.0
SH600530,0.001501272265,0.001501272265,0.001501272265,0.118,0.118,0.118
SH600531,0.027950310559,0.071905104287,0.10818038847700001,2.25,5.03,7.02
SH600533,,0.032573289902,0.09760112896,,1.0,3.2
