symbol,total_dividend_yield_1Y,total_dividend_yield_3Y,total_dividend_yield_5Y,total_dividend_1Y,total_dividend_3Y,total_dividend_5Y
SH603286,0.000847457627,0.002804404789,0.00509088764,0.3,0.6,0.94
SH603288,0.026086004742999998,0.05597940648,0.070276287756,11.2,24.799999999999997,42.7
SH603289,0.016146393972,0.047207169931,0.091687878061,1.5,4.5,8.5
SH603290,0.008010958559,0.026398766182,0.029776832322999998,6.3599,36.6972,47.0972
SH603291,0.012417218543,0.031399008866,0.031399008866,1.5,4.05,4.05
SH603296,0.01266000844,0.027294154781000002,0.027294154781000002,9.0,21.0,21.0
SH603297,0.010218802597,0.036000847860000004,0.055290527185,8.5,27.65,41.95
SH603298,0.025853154085,0.06285230157,0.111023623558,5.0,14.0,22.0
SH603299,0.045112016293,0.126936294571,0.14604026734199999,4.43,12.28,14.360199999999999
SH603300,0.002417782027,0.0065873058370000005,0.018602443018,0.2529,0.4718,1.7418
SH603301,0.031190019194,0.106399223711,0.173722019198,6.5,26.5,55.5
SH603303,0.103914803213,0.152523797943,0.196284146778,13.81,20.47,26.41
SH603305,0.028809704321,0.050238623509000005,0.066084227631,3.8,7.3,11.8
SH603306,0.002166476625,0.018177091895,0.025885292702,0.95,4.82,7.279
SH603307,0.026017607375,0.078880914701,0.078880914701,10.0,27.6,27.6
SH603308,0.003349282297,0.0236013891,0.034357096534,0.7,3.67,5.93
SH603309,0.040584415584,0.097537067817,0.12327590829299999,5.0,13.4,16.75
SH603310,0.015479876161,0.03767743443,0.03767743443,3.0,7.0,7.0
SH603311,0.011320754717,0.031109039597,0.058315262408,1.2,3.2,6.4
SH603312,0.029573817102,0.052332920743,0.052332920743,11.7,18.2,18.2
SH603313,,,0.012048192771,,,3.5
SH603315,0.006102941176,0.013306331006999999,0.023795841497,0.83,1.51,3.0100000000000002
SH603316,,,0.015358480791,,,1.15
SH603317,0.04845814978,0.092864147842,0.100873582214,5.5,12.7,15.7
SH603318,0.009770114943,0.024058010554,0.030125325135999997,0.68,1.57,2.02
SH603319,0.006423982869,0.046802880856,0.078883828381,2.1,8.6,16.7
SH603320,0.008413461538,0.021635716652,0.048350257471999995,1.4,3.2,6.2
SH603321,0.027027027027,0.062535481042,0.092722800604,2.0,4.5,6.5
SH603323,0.046504980321000006,0.122147154754,0.18502072977700001,2.7,6.2,9.3
SH603324,0.004921259843,0.019618551955,0.038302771863999996,1.25,5.550000000000001,12.226
SH603325,0.007187350264,0.026146078571,0.026146078571,7.5,20.5,20.5
SH603326,0.054000844369,0.119609943441,0.147439256985,4.5,8.7,11.7
SH603327,0.021222410866,0.070389435305,0.117706955712,2.5,9.5,17.3
SH603328,0.018661639962,0.06165441263,0.084969991858,1.98,5.39,7.07
SH603329,0.002017484869,0.032574780118,0.061307121977,0.3,4.3,8.8
SH603330,,0.018103837472,0.034137403007,,0.802,3.412
SH603331,0.007677543186,0.026351679507,0.06715025811,0.8,2.8,7.3
SH603332,0.011111111111,0.040701416313000005,0.060098554014,2.2,4.7024,9.2024
SH603333,0.001209189843,0.0043837930179999995,0.0043837930179999995,0.1,0.2,0.2
SH603335,,,0.013511263645999999,,,0.6699999999999999
SH603336,,0.00521609538,0.011936136702,,0.35,1.0005
SH603337,0.013283740701,0.060175962808,0.08523060582099999,5.0,16.2,22.0
SH603338,0.022371364653,0.047448166931,0.05887071116999999,10.0,25.0,31.0
SH603339,0.019815281276,0.062408615824,0.08594130743100001,2.36,7.16,9.57
SH603341,0.012758356724,0.024189540995,0.024189540995,5.0,10.0,10.0
SH603344,0.011562849683,0.025243343946000002,0.025243343946000002,3.1,6.2,6.2
SH603345,0.032271635451,0.085439896775,0.092654635656,24.4,74.77,89.18
SH603348,0.007232401157,0.017206493517,0.024293971038,1.5,4.5,7.5
SH603350,0.018299070207,0.018299070207,0.018299070207,7.0,7.0,7.0
SH603351,0.013981125481,0.038732989633,0.06711987049,4.0,9.8,15.8
SH603353,0.006321112516,0.039968329026,0.061200466462999994,1.0,7.0,14.0
SH603355,,0.093308316137,0.164689410795,,25.0,55.0
SH603357,0.040322580645,0.12043055331300001,0.187947639612,3.5,12.3,19.4
SH603358,0.010475905418,0.038116317913,0.07453519083099999,3.5,10.0,17.3
SH603359,,0.003636260699,0.020467275282,,0.2,2.7
SH603360,0.021582733813,0.108814455556,0.1479278845,6.0,20.0,26.0
SH603363,,,0.014097744361,,,1.5
SH603365,0.0466562986,0.15123287829999998,0.212754818265,9.0,25.0,34.0
SH603366,0.005335968379,0.025543222265,0.068980412683,0.54,1.32,3.35
SH603367,0.024656257508,0.091820546002,0.137061513121,4.08,13.99,19.55
SH603368,0.043385326401,0.094126695144,0.153130868291,7.51,18.59,29.39
SH603369,0.027378507871,0.059967873667,0.08125044883900001,12.0,29.3,39.7
SH603373,0.017028606315,0.032653606315,0.032653606315,7.0,12.0,12.0
SH603375,0.002503125781,0.013713888112999999,0.013713888112999999,1.001,5.0009999999999994,5.0009999999999994
SH603377,,,0.007271171942,,,0.85
SH603378,,0.015998765241,0.024668196073999997,,1.191,5.7909999999999995
SH603379,0.015264481792,0.030900987924,0.046037765526,7.7,12.39,15.190000000000001
SH603380,0.04086636698,0.059773416733000004,0.07764879582699999,10.0,14.0,19.1
SH603381,0.024811696943,0.024811696943,0.024811696943,5.6,5.6,5.6
SH603382,0.005725737189,0.005725737189,0.005725737189,2.0,2.0,2.0
SH603383,0.015596568755,0.059841881093,0.096405642925,6.0,25.0,34.5
SH603385,0.016541353383,0.030044027180000002,0.076739618976,1.1,2.1100000000000003,6.4003
SH603386,,0.024987999364,0.062514443251,,2.86,9.06
SH603387,0.021753123071,0.077411133512,0.106156070428,1.8,7.7,14.7
SH603389,,,0.008908685969,,,0.4
SH603390,0.00627576376,0.017074582475,0.027600898264,0.9,1.7000000000000002,2.7
SH603391,0.032291397572,0.061361165014000005,0.061361165014000005,12.5,25.0,25.0
SH603392,,0.015300921929,0.016844360084,,13.2,17.7
SH603393,,0.046181640481,0.097339008146,,15.0,26.5
SH603395,0.003389830508,0.003389830508,0.003389830508,1.5,1.5,1.5
SH603396,0.006072874494,0.014909561677999998,0.025083064771000002,1.5,5.200100000000001,9.2001
SH603398,,,0.006283856988,,,0.58
SH603399,,0.035746201966,0.035746201966,,4.0,4.0
SH603408,0.043668122271,0.114573817883,0.173172202917,5.0,14.100000000000001,21.9
SH603409,0.014392630973,0.014392630973,0.014392630973,5.0,5.0,5.0
SH603416,0.027482531464000003,0.039852943708,0.052361642708,14.6,18.6,24.0
SH603421,,0.018637926229,0.039463889279,,1.1600000000000001,2.73
SH603429,,0.037593984962,0.049032861250999996,,1.5,4.5
SH603439,0.028380634391,0.048389724393,0.064591927893,3.4,6.4,8.9
SH603444,0.026570300445,0.074312282444,0.142846621603,101.0,246.0,526.0
SH603456,0.030991809435000003,0.083060789351,0.09225618533400001,5.0,14.0,18.5
SH603458,,0.027079525709,0.097747171637,,2.1799999999999997,11.879999999999999
SH603466,0.01958863859,0.044519413549,0.089696176147,2.0,4.35,14.149999999999999
SH603477,0.008004608295,0.009027299251,0.015987976807,1.737,2.057,3.3970000000000002
SH603486,0.008368978985,0.027414918683,0.039495079901,4.5,16.5,32.5
SH603488,0.003759398496,0.057881207283,0.11013483705,0.3,4.3,8.3
SH603489,0.003800836184,0.06471821007300001,0.082836886537,1.0,31.0,71.0
SH603496,0.00098929381,0.007663358548,0.01075933378,0.25,1.7,2.2
SH603499,0.008783487044,0.015315273046,0.015315273046,2.0,2.7,2.7
SH603500,0.013829787234,0.034156117357,0.059731496065,1.3,3.9000000000000004,7.2
SH603501,0.001813984169,0.004155999524,0.00885445304,2.2,4.4399999999999995,12.790000000000001
SH603505,0.0022737608,0.018290100367,0.034843709332,0.5,5.1,10.5
SH603506,,0.065107855853,0.103864622462,,6.6027000000000005,13.155100000000001
SH603507,0.011871784725,0.030724855565,0.039402294224000003,3.0,8.9,11.8
SH603508,0.10040596970400001,0.162882143222,0.22181515925200002,32.8828,45.8993,57.502700000000004
SH603511,0.027378507871,0.12958991204,0.161274641497,4.0,19.0,26.0
SH603515,0.049315068493,0.125744871733,0.174819244304,9.0,22.5,32.5
SH603516,0.007010656197,0.013931490121,0.042405345535,2.5,4.5,10.5
SH603517,0.02119460501,0.075160420618,0.09282761284,3.3,13.1,23.8
SH603518,0.037170263789,0.079690963084,0.079690963084,3.1,6.7,6.7
SH603519,0.071994240461,0.25690646283,0.304870276608,10.0,37.0,43.0
SH603520,0.013653476513,0.032006140224,0.050408466746999996,1.5,4.0,14.0
SH603527,0.015625,0.055156250000000004,0.08934671940700001,1.6,5.1,8.3
SH603528,0.006297229219,0.014865160676,0.018889305545,0.5,1.2,1.6
SH603529,0.033974242114,0.098416072897,0.105145547998,12.2,37.379999999999995,42.379999999999995
SH603530,0.01706864564,0.031816197775,0.047944029597000004,4.6,7.699999999999999,10.0
SH603533,0.004938271605,0.011603013732,0.017477150752,1.0,2.8,4.2
SH603535,0.007003891051,0.019699301929,0.026575029254,0.9,2.75,5.0
SH603536,,0.002042900919,0.00859311926,,0.2,1.1
SH603538,0.002443792766,0.012171035886,0.016784328937,0.5,2.3499999999999996,4.3351
SH603551,0.075135296276,0.230799213422,0.327658865354,8.5,27.0,37.0
SH603556,0.02763521516,0.077796701754,0.136477887476,7.0,25.0,33.0
SH603558,0.058509566968,0.15135670534,0.163048053742,5.5,14.0,15.5
SH603565,0.11393630634,0.203349917608,0.345956531884,12.2,21.6,57.6
SH603566,0.04052962181,0.09663144585899999,0.125358887425,6.0,16.5,23.5
SH603567,0.012057877814,0.031943531502,0.041042243948,1.5,3.7800000000000002,4.84
SH603568,0.024340770791,0.044769647038,0.061399957826,4.8,8.8,13.149999999999999
SH603569,0.042057055761999994,0.050851025610999995,0.064693198962,3.6,4.300000000000001,5.37
SH603577,0.010395209581,0.020828388386,0.038335925097,0.868,1.728,3.438
SH603578,,0.023430316947,0.049943952352,,3.1,8.1
SH603579,0.015118790497,0.104399745567,0.145207715014,3.5,21.5,33.5
SH603580,0.00554428668,0.009530674624,0.032100092082,0.82,1.64,4.1
SH603583,0.007847240387,0.028930412295999998,0.041219468732,3.0,7.3,13.5
SH603585,,0.041235885817,0.08067064243,,6.0,13.0
SH603586,0.022062879206,0.092378750299,0.143849338534,4.0,13.5,20.5
SH603587,0.038580246914,0.148040430766,0.24617691313,5.0,20.0,38.0
SH603588,0.012345679012,0.093285367346,0.10228341363,0.7,5.5,6.8999999999999995
SH603589,0.037345590348,0.10232248593400001,0.145380454725,13.0,43.0,70.0
SH603590,0.019169329073,0.037188552144,0.057663658051,6.0,11.0,17.5
SH603595,0.000736377025,0.001828204174,0.003682642016,0.15,0.6149,0.9834
SH603596,0.006813315164,0.018002554773,0.023282387809,3.5,10.29,12.75
SH603599,0.02370500439,0.111019274015,0.149706560765,2.7,18.7,33.0
SH603600,0.042070958436,0.131276177941,0.180453845053,4.6,13.7,18.4
SH603601,0.00682135868,0.038730259049,0.064320054467,0.30000000000000004,1.35,3.9
SH603602,0.0046880073300000005,0.013652111785,0.019758593955,0.7,1.8,2.4
SH603605,0.024351662953,0.041527744189,0.049820096602,19.9,41.5,57.3
SH603606,0.009261164849,0.023795413523,0.041500846521,4.5,11.5,17.3
SH603607,0.018670649739,0.088281125469,0.141308133136,5.0,15.0,22.5
SH603608,,,0.022831050228,,,1.5
SH603609,0.006546275395,0.019177854342,0.039324374489,0.58,1.7799999999999998,3.9800000000000004
SH603610,0.008230452675,0.091425128216,0.133886581648,1.0,11.0,20.0
SH603611,0.040772727273,0.0955934247,0.149456234146,8.97,20.69,29.19
SH603612,0.008024455483,0.031175217764,0.0643020079,2.1,6.199999999999999,12.9
SH603613,0.002833834264,0.018264177055,0.020900592481,0.66,5.06,8.07
SH603615,,0.013920800203,0.025182061464,,1.5,3.0
SH603616,,,0.003414473684,,,0.2076
SH603617,0.011869436202,0.021851301477,0.063976677524,0.8,1.5,6.0
SH603618,0.009852216749,0.029302070692,0.047411193251,0.6,1.7,2.8
SH603619,0.024822207465000003,0.084028461138,0.094204268131,5.0,18.0,20.0
SH603626,,0.023131672598,0.023131672598,,1.3,1.3
SH603628,0.005523012552,0.019677975542,0.028581300466,0.66,2.7,3.55
SH603629,0.005527944076,0.017030570307,0.024705814318,1.3,4.6,6.33
SH603630,0.004063205418,0.037834983111,0.042100385955,0.9,5.0,5.8999999999999995
SH603633,0.00245677889,0.016568349138,0.02451916881,0.27,1.4300000000000002,2.4
SH603636,,0.012045024132,0.032378623117,,1.3399999999999999,3.3899999999999997
SH603637,0.01978239367,0.05702128383,0.09222680252399999,2.0,4.6,7.3
SH603638,0.002815315315,0.016540959886,0.025842829121999998,0.5,2.7,5.7
SH603639,0.035310734463,0.13342978747700002,0.186183281804,5.0,20.0,33.0
SH603648,0.025359256128,0.10385670292,0.158682284945,3.0,10.0,14.8
SH603650,0.015119443604,0.044016414329,0.054156933059999995,5.0,14.2,18.5
SH603655,0.005912912547,0.015204819273,0.025207106153,1.9,3.6,5.6
SH603656,0.002702702703,0.014583542717,0.028561069581,0.5,2.0,4.0
SH603657,0.001346153846,0.028933999938,0.07358036536,0.35,4.35,12.35
SH603658,0.032052912745,0.067359830209,0.090021095716,12.6,31.1208,46.8208
SH603659,0.010228640193,0.025404580311,0.032986058656,1.7,6.5,15.639999999999999
SH603660,,,0.012644763656,,,0.8
SH603661,0.042626954841,0.072470253017,0.097222728265,12.7,22.5,32.5
SH603662,0.004224924012,0.027699736873,0.059223317181,2.78,8.87,16.1
SH603663,0.003015681544,0.015027901003,0.026542506801,0.75,2.5,4.5
SH603666,,,0.006285364216000001,,,5.300000000000001
SH603667,0.003332407665,0.024098438175,0.051988068486,1.2,4.8,8.3
SH603668,,0.005134843767,0.007137848274,,0.7000000000000001,1.1
SH603669,,,0.037103174603,,,3.0
SH603676,0.015831134565,0.066472479521,0.094714211617,1.8,7.0,9.55
SH603677,0.012619888945,0.041427611998,0.080771512452,2.5,6.0,10.0
SH603678,0.005833627546,0.024386667118999998,0.040635834183,2.2,7.9,16.099999999999998
SH603679,,0.013595166163,0.017801265006,,1.8,2.6
SH603680,0.025492994291,0.050420865699,0.083736676417,3.0,5.0,8.2
SH603681,0.009868421053,0.035547339746,0.051157110701,1.5,5.0,9.0
SH603682,0.058133706287,0.13999654677,0.208783121225,3.3000000000000003,7.700000000000001,12.100000000000001
SH603683,0.006126616746,0.017556618855,0.027488058587,0.9,2.08,3.13
SH603685,0.000617760618,0.014693293263,0.043037194045,0.08,1.7200000000000002,4.92
SH603686,0.011018131102,0.066563709419,0.11557285166600001,1.58,6.58,12.879999999999999
SH603687,0.008154811715,0.017781553329,0.028591118928,0.5847,1.3232,2.2432
SH603688,0.005830009205,0.10838546277299999,0.12062299070999999,1.9,80.65,84.74
SH603689,0.046014808531,0.10942535109500001,0.147095702866,4.0,9.5,13.3
SH603690,0.00203990228,0.014981181170000002,0.018383052272000003,0.501,3.7566,5.3929
SH603693,0.011415525114,0.034913813318,0.051762459296,1.5,4.5,7.0
SH603696,0.007431874484,0.023495800355,0.058512219409999996,0.9,2.15,5.9
SH603697,0.035726691722,0.137358983867,0.203668364625,4.4,13.1,22.8
SH603698,0.008820121898,0.024078905858,0.036068246116,1.6300000000000001,3.66,5.550000000000001
SH603699,0.048035974251,0.121448236177,0.196412127767,17.2,29.8,36.9
SH603700,0.017035775128,0.068291512501,0.135626604633,2.0,8.0,20.0
SH603701,0.002358490566,0.004652068548,0.015540110787,0.4,0.65,1.65
SH603703,,0.001268498943,0.001268498943,,0.12,0.12
SH603706,0.040340654415,0.141672862505,0.22715939888800002,9.0,25.0,39.0
SH603707,0.008810572687,0.025809130465,0.035008239769,1.0,3.15,6.15
SH603708,0.023070104186,0.0636348945,0.08785448545800001,2.4000000000000004,6.4,10.9
SH603709,,0.016071428571,0.022328538924,,1.8,2.9000000000000004
SH603711,0.017605633803,0.049899603772,0.08147114924,2.5,7.6,12.3
SH603712,,0.007002726737,0.013125830231,,1.7000000000000002,3.7
SH603713,0.013408876298,0.027149974639999998,0.032501595036,7.1,17.9,24.4
SH603718,0.010288713911,0.021078403176000002,0.021360282371000003,0.784,1.638,1.68
SH603719,0.018707738542,0.062868190078,0.077298302589,2.49,9.76,14.45
SH603721,,0.008844339623,0.020873208909,,1.5,3.0
SH603722,0.002689618074,0.012541496137,0.031540927967,1.0,6.0,13.5
SH603725,0.011976047904,0.02704696989,0.040222200457,1.0,2.7,3.7
SH603726,0.023460410557,0.081288774732,0.142743212083,4.0,11.5,19.5
SH603727,0.017972681524,0.041047978219,0.076136693083,2.5,5.5,10.5
SH603728,0.000440366972,0.0026111940219999998,0.010129776154,0.24,1.3399999999999999,2.83
SH603729,0.000584453536,0.000584453536,0.000584453536,0.1,0.1,0.1
SH603730,0.043424317618,0.10216780924,0.15752665918,3.5,12.5,22.5
SH603733,0.023752969121,0.056959965079,0.081481719438,5.0,11.6,18.2
SH603737,0.00698842542,0.010818008953,0.013318996185000001,3.2,4.800000000000001,10.5
SH603738,0.005715714286,0.021362811017,0.040926319534,0.8002,3.7102000000000004,11.2102
SH603739,0.007246376812,0.021372353122,0.039923594056,1.0,3.0,6.6
SH603755,0.006349206349,0.012726757369,0.026683569519,2.0,4.0,10.0
SH603757,0.020560615694,0.124253306604,0.195165428987,7.0,31.0,44.5
SH603758,,0.14813941608700001,0.216820734768,,15.0,20.0
SH603759,,0.038681948424,0.059683711825,,2.7,6.45
SH603766,0.028129395218,0.059071729958,0.09331800027600001,4.0,5.8,7.2
SH603767,0.0129617628,0.06904526490400001,0.127609605011,2.0,7.0,11.5
SH603768,0.004538341158,0.018370572531000003,0.029740334949,0.58,2.63,4.34
SH603773,0.002067824648,0.0038599393429999997,0.01098714131,0.5,1.1,2.6262
SH603776,0.014551804424,0.054299459188,0.087107927737,2.5,6.8,14.134
SH603777,,0.009919536387000001,0.009919536387000001,,1.4217,1.4217
SH603779,0.00123119015,0.00123119015,0.00123119015,0.09,0.09,0.09
SH603786,0.01195732156,0.029094525192,0.044340322289,6.5,17.5,27.5
SH603787,0.016917787846000003,0.06205143423,0.075110482287,2.0,9.0,12.0
SH603788,0.041666666667,0.127216687701,0.213960752333,7.0,18.0,29.0
SH603790,0.006525285481,0.02215308384,0.042592778777,1.2,3.0,5.2
SH603797,0.018867924528,0.018867924528,0.079819778557,0.9,0.9,4.9
SH603798,0.00384985563,0.016799282147,0.044352250921,0.4,1.7,4.56
SH603799,0.014762326543,0.05822559411599999,0.06323170433799999,5.0,17.0,22.0
SH603800,0.003480682214,0.010255749965,0.011012506722,1.0,2.5,2.5700000000000003
SH603801,0.057971014493,0.12624645546500002,0.16549732791,6.0,20.0,34.0
SH603803,,0.006363636364,0.01977827051,,0.56,1.6600000000000001
SH603806,0.02048857368,0.035210025174,0.043172258201,2.6,6.7,14.7
SH603808,0.006142506143,0.041925953364,0.09390241535499999,0.5,3.07,9.4937
SH603809,0.011689070719,0.046772332055999996,0.074936776448,2.0,5.8,10.8
SH603810,,0.005195991091,0.041591277829000003,,0.6999,7.4699
SH603811,0.026595744681,0.069489100135,0.10202239800900001,2.5,7.0,13.0
SH603813,,0.041540876705,0.04879209452,,5.3,6.342
SH603815,0.008125,0.037442929012,0.055667575677,0.65,2.5,4.1
SH603816,0.052352048558,0.115118661269,0.144248571297,13.8,38.8,60.2
SH603817,0.009337455312,0.038403274868,0.057735425404,0.6000000000000001,2.16,3.4
SH603819,0.001493651979,0.028944864981,0.034368135032,0.2,3.4000000000000004,4.0600000000000005
SH603822,,,0.012642867684000001,,,4.3100000000000005
SH603823,0.012765957447,0.040395074382999996,0.079311542163,1.5,5.1,10.6
SH603825,,,0.031390765412,,,5.6
SH603826,,0.002335902826,0.002335902826,,1.0,1.0
SH603828,,,0.002487562189,,,0.1
SH603829,0.007275902212,0.022187509666999998,0.039453842478999995,1.25,3.25,5.25
SH603833,0.041333333333,0.115558907676,0.137090301242,24.8,70.1066,99.6066
SH603836,0.010997067449,0.056861914842,0.09973436929,1.5,8.3,16.3
SH603838,,0.007042253521,0.016062183395,,0.4,1.0
SH603839,0.013550135501,0.103376975328,0.19832124284400002,1.0,7.15,15.65
SH603843,,,0.012959424779,,,0.54
SH603848,0.012936610608,0.049484234242,0.082575065105,2.0,7.0,12.0
SH603855,0.047303689688,0.128158517592,0.194542080004,10.0,30.0,45.0
SH603856,0.019439962751,0.053454193867,0.096274491058,2.17,5.8,11.0566
SH603858,0.020945220193,0.077629157475,0.123036324899,3.9,14.76,23.619999999999997
SH603859,0.000574913892,0.003490365787,0.0072189265629999996,0.2003,1.2003,2.2003
SH603860,0.005503289474,0.015572431157000001,0.02576901194,1.673,4.374,6.558999999999999
SH603861,0.014685943983,0.027613237522,0.039822381471,1.4554,2.5454,3.5954
SH603866,0.022807017544,0.104994814646,0.153652843726,1.3,8.3,24.3
SH603867,0.017857142857,0.049049921555,0.081661537967,4.5,14.5,24.0
SH603868,0.013397642015,0.08572231776099999,0.120965855087,5.0,48.0,68.0
SH603869,0.001849791377,0.001849791377,0.004900387006,0.133,0.133,0.3834
SH603871,0.041827797301,0.09972951320699999,0.160851581659,6.0,19.0,34.0
SH603876,0.010443205454,0.061004680781,0.064137512861,1.0,11.899999999999999,13.899999999999999
SH603877,0.025046963056,0.067212113006,0.115131456566,4.0,11.5,25.5
SH603878,0.017408123791,0.116110937572,0.193731361027,0.9,10.0,15.4
SH603879,,,0.001703250801,,,0.139
SH603880,,,0.014381591563,,,1.5
SH603881,0.002105102066,0.009742937106,0.012607495368,0.6699999999999999,2.16,3.1
SH603882,,0.053320450039,0.070748825418,,26.6,42.690000000000005
SH603883,0.004136504654,0.065998218283,0.084022841614,0.8,15.707,24.207
SH603885,0.007194244604,0.021338787072,0.027183322431000002,1.0,2.59,3.59
SH603886,0.06968641115,0.181878960714,0.292097010619,10.0,30.0,50.0
SH603887,,,0.007911392405,,,1.0
SH603888,0.005515004055,0.022141214824999998,0.039158616041,1.36,5.34,8.25
SH603889,0.048939641109,0.133928356114,0.22119174838,3.0,10.0,15.0
SH603890,0.01312335958,0.025288809702000002,0.0514462884,1.5,2.5,5.5
SH603893,0.004012345679,0.011061811162,0.022863142566,6.5,11.0,24.5
SH603895,,,0.001417671142,,,0.30000000000000004
SH603896,0.011946902655,0.038042261061999996,0.054506360553,2.7,11.0,18.17
SH603897,0.067115361827,0.22445821912299999,0.272148756541,18.0,49.0,65.0
SH603898,0.006806282723,0.101341766655,0.117247450777,0.78,10.07,12.110000000000001
SH603899,0.034293552812,0.066374519755,0.084741462975,10.0,23.0,34.0
SH603900,,0.021551724138,0.066916082003,,1.0,4.4
SH603901,0.001457725948,0.022553537639,0.042925146647,0.15,2.25,5.0600000000000005
SH603903,,0.04467094244,0.071395417332,,3.82,6.449999999999999
SH603906,,,0.012876261616000001,,,3.63
SH603908,0.025510204082,0.088571004612,0.129981492715,6.5,30.5,47.0
SH603909,0.013114754098,0.024767107377,0.031371867563,1.2,2.6,3.6799999999999997
SH603912,0.008849557522,0.029154962925,0.059982052601,0.8,2.6,7.6
SH603915,0.015922760367,0.054217402351,0.072594964396,2.4,7.6,13.1
SH603916,0.010787486516,0.054928673377,0.082503596372,1.0,5.5,12.7
SH603917,0.011312217195,0.035668903676,0.059896259210000004,1.5,4.8,8.1
SH603918,,0.004138739344,0.029106831928000003,,0.6000000000000001,3.39
SH603919,0.025799793602,0.054624422000000006,0.06670057570400001,5.0,11.89,16.490000000000002
SH603920,0.022927015667,0.077153927726,0.149004162674,6.0,17.0,29.0
SH603922,,0.000840689365,0.004386502439,,0.2,0.9
SH603926,0.020766773163,0.071975241312,0.121286437158,2.6,7.5,14.2
SH603927,0.020221268746999997,0.05480849210699999,0.093530857192,3.9,14.9,25.9
SH603928,0.011352557618000001,0.027960240036,0.11719990612599998,1.6,3.15,14.65
SH603929,0.059258017178,0.11399586615,0.13248943303,20.0,32.5,34.5
SH603931,0.008664828673,0.028061506610000002,0.045152458977,2.2,7.35,13.35
SH603933,0.003683241252,0.01754980228,0.033704337071,0.6,2.8,4.6
SH603936,,0.001713796058,0.00715350594,,0.2,0.8
SH603937,,0.023584129728000003,0.07152496573,,2.27,9.27
SH603938,0.001250919794,0.013756430543,0.019766537804,0.17,3.44,5.96
SH603939,0.027943104344000002,0.058335675037000004,0.067864797889,7.0,18.5,24.5
SH603948,0.050735667174,0.176002473601,0.207947215681,10.0,39.2,46.7
SH603949,0.005574136009,0.047050108549,0.07876372093799999,1.0,7.3,13.3
SH603950,0.0048046875,0.0048046875,0.037457748724000005,1.23,1.23,5.550000000000001
SH603955,0.001428571429,0.001428571429,0.001428571429,0.5,0.5,0.5
SH603956,,0.03156582339,0.0576996752,,2.0,5.393
SH603960,0.002957943322,0.01377110372,0.022244963636,0.57,2.65,4.72
SH603966,0.024891774892,0.07598198750599999,0.123098743151,2.3,7.199999999999999,12.4
SH603967,0.045214770158,0.134828548026,0.201022269236,6.0,15.5,24.25
SH603968,,0.074371422191,0.133387388873,,10.8,20.8
SH603969,0.010854816825,0.038125868971,0.054952792048,0.8,2.1,2.8
SH603970,0.030384875084,0.073917442096,0.098997395705,4.5,14.5,21.0
SH603976,0.013804713805,0.037675018286,0.051256106947,2.46,6.0600000000000005,9.5
SH603977,0.007853403141,0.031959390824,0.060134752913,0.9,3.2,5.5
SH603979,0.010146561443,0.01815292808,0.028209640765,4.5,7.7,9.5
SH603980,0.013618677043,0.050946478491,0.103581196075,0.7,2.2,5.35
SH603982,,,0.007426575747,,,1.49
SH603983,0.018264407298,0.043916478196999995,0.058689499836,7.5,15.2,20.6
SH603985,,0.002089864159,0.022904713723,,0.4,5.4
SH603986,0.002810381881,0.00824516449,0.018833082256,3.4,9.6,25.799999999999997
SH603987,0.019946808511,0.061039069724,0.072082692032,1.5,5.300000000000001,7.300000000000001
SH603988,0.001830663616,0.013521597214000002,0.069201684655,0.4,1.658,11.023000000000001
SH603989,0.009894459103,0.043597817117000004,0.06448518975100001,1.5,7.15,13.35
SH603990,,0.0,0.002616970658,,0.0,0.66
SH603992,0.014893418477,0.054939301856,0.071673863681,3.7,10.25,13.04
SH603993,0.031288343558,0.063698556812,0.083121879838,2.55,4.9433,5.985799999999999
SH603995,0.047078408637,0.09485486472400001,0.129765165023,8.0,18.0,33.0
SH603997,,,0.018255578093,,,1.8
SH603998,0.032381841806,0.082713796866,0.131671334004,3.5,9.5,12.5
SH603999,0.004925373134,0.022020689165,0.037702445739,0.33,1.3,2.14
SH605001,0.027251193632,0.064915977059,0.080102005912,2.0,4.0,6.0
SH605003,0.019533111005,0.065624464574,0.100830623309,4.1,12.299999999999999,21.4
SH605005,0.011210762332,0.033147585545,0.050144949107,2.0,5.5,8.5
SH605006,,0.043160408074,0.052060084449,,3.2,4.300000000000001
SH605007,0.022045855379,0.048293154208000004,0.079232089889,2.5,6.300000000000001,12.3
SH605008,,0.021587743733,0.031061029068,,3.1,5.6
SH605009,0.012372634643,0.089516918019,0.123770027694,8.5,41.5,61.5
SH605011,0.009762925386,0.019830506017,0.036970391448,2.2,5.4,9.0
SH605016,0.007653810711999999,0.023167138593,0.025189984857,1.9,6.3,7.15
SH605018,0.011961722488,0.038211183312000005,0.072766709558,1.5,4.0,8.9
SH605020,0.011322463768,0.026342139261,0.037127298881,2.5,6.5,9.0
SH605028,0.022978426226,0.07726518882200001,0.123478170797,5.0,14.0,24.0
SH605033,0.004761904762,0.029194282048000002,0.03635598578,1.0,4.7,6.6
SH605050,0.009179926561,0.079757753923,0.125799000591,1.5,8.8,14.6
SH605055,0.008086253369,0.020508613617,0.020508613617,0.6,1.2,1.2
SH605056,0.023888520239,0.062810795791,0.111783338469,3.6,8.6,16.1
